ccd,Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,tot_amount,Sales Method
P006,Amazon,2015-01-25 00:00:00,Southeast,Kentucky,Louisville,Women's Street Footwear,43,47,2021,Online
P002,Foot Locker,2015-01-26 00:00:00,Midwest,Illinois,Chicago,Women's Athletic Footwear,40,175,7000,Outlet
V004,Sports Direct,2015-01-26 00:00:00,Southeast,North Carolina,Charlotte,Women's Apparel,30,700,21000,Online
R008,Foot Locker,2015-01-26 00:00:00,Northeast,Rhode Island,Providence,Women's Apparel,55,300,16500,In-store
K007,Sports Direct,2015-01-26 00:00:00,South,Tennessee,Knoxville,Men's Apparel,55,450,24750,Outlet
N003,Sports Direct,2015-01-27 00:00:00,Northeast,Connecticut,Hartford,Women's Apparel,54,83,4482,Online
I001,Kohl's,2015-01-27 00:00:00,Northeast,Delaware,Wilmington,Men's Apparel,61,91,5551,Online
R002,Sports Direct,2015-01-27 00:00:00,West,Idaho,Boise,Men's Athletic Footwear,32,189,6048,Online
P006,Foot Locker,2015-01-27 00:00:00,Southeast,South Carolina,Charleston,Women's Street Footwear,55,825,45375,Online
S007,Foot Locker,2015-01-28 00:00:00,Northeast,New York,New York,Men's Street Footwear,60,1250,75000,Outlet
R004,West Gear,2015-01-29 00:00:00,South,Louisiana,New Orleans,Men's Apparel,41,83,3403,Outlet
D003,West Gear,2015-01-30 00:00:00,West,California,San Francisco,Women's Athletic Footwear,37,210,7770,Outlet
B001,West Gear,2015-01-30 00:00:00,West,California,San Francisco,Women's Athletic Footwear,40,271,10840,Outlet
S009,Walmart,2015-01-30 00:00:00,South,Texas,Houston,Men's Apparel,42,147,6174,Online
M002,Sports Direct,2015-01-31 00:00:00,Northeast,Connecticut,Hartford,Men's Athletic Footwear,38,58,2204,Online
N002,Kohl's,2015-01-31 00:00:00,West,New Mexico,Albuquerque,Men's Apparel,48,162,7776,Outlet
D001,Foot Locker,2015-02-01 00:00:00,West,Hawaii,Honolulu,Women's Apparel,70,325,22750,Outlet
S010,Kohl's,2015-02-02 00:00:00,West,California,Los Angeles,Women's Athletic Footwear,44,189,8316,Online
V001,Sports Direct,2015-02-04 00:00:00,Southeast,Georgia,Atlanta,Women's Apparel,46,135,6210,Outlet
R004,Amazon,2015-02-04 00:00:00,Northeast,Vermont,Burlington,Men's Street Footwear,60,570,34200,In-store
A005,West Gear,2015-02-05 00:00:00,West,Colorado,Denver,Women's Athletic Footwear,63,135,8505,Online
P011,Sports Direct,2015-02-05 00:00:00,West,Idaho,Boise,Men's Athletic Footwear,55,625,34375,Online
R006,West Gear,2015-02-05 00:00:00,South,Louisiana,New Orleans,Men's Apparel,43,53,2279,Online
V001,Foot Locker,2015-02-05 00:00:00,Midwest,Missouri,St. Louis,Men's Athletic Footwear,24,91,2184,Online
S005,West Gear,2015-02-05 00:00:00,Northeast,New York,Albany,Women's Street Footwear,55,625,34375,In-store
C001,Sports Direct,2015-02-05 00:00:00,South,Texas,Dallas,Men's Athletic Footwear,31,236,7316,Outlet
R011,Sports Direct,2015-02-06 00:00:00,South,Alabama,Birmingham,Men's Apparel,25,275,6875,Outlet
A002,Foot Locker,2015-02-06 00:00:00,West,Arizona,Phoenix,Women's Athletic Footwear,38,68,2584,Outlet
R003,West Gear,2015-02-06 00:00:00,Northeast,New York,Albany,Women's Apparel,59,169,9971,Online
K007,Kohl's,2015-02-06 00:00:00,West,Wyoming,Cheyenne,Men's Athletic Footwear,41,152,6232,Online
P008,West Gear,2015-02-08 00:00:00,West,California,San Francisco,Women's Street Footwear,60,200,12000,Online
S004,West Gear,2015-02-08 00:00:00,Northeast,New York,Albany,Men's Street Footwear,57,208,11856,Online
V003,Foot Locker,2015-02-08 00:00:00,Southeast,South Carolina,Charleston,Women's Athletic Footwear,27,180,4860,Online
M005,Sports Direct,2015-02-09 00:00:00,Southeast,Georgia,Atlanta,Women's Street Footwear,55,525,28875,Online
S004,Foot Locker,2015-02-09 00:00:00,Midwest,Illinois,Chicago,Men's Apparel,56,41,2296,Online
A002,Foot Locker,2015-02-09 00:00:00,Midwest,Illinois,Chicago,Men's Street Footwear,57,150,8550,Online
N010,Walmart,2015-02-09 00:00:00,South,Texas,Houston,Women's Athletic Footwear,36,230,8280,Outlet
V003,Amazon,2015-02-10 00:00:00,Southeast,Kentucky,Louisville,Men's Apparel,55,150,8250,Online
N008,Foot Locker,2015-02-10 00:00:00,South,Mississippi,Jackson,Men's Apparel,26,136,3536,Outlet
N004,Amazon,2015-02-10 00:00:00,Northeast,New Hampshire,Manchester,Men's Apparel,64,63,4032,Online
J001,Foot Locker,2015-02-10 00:00:00,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,32,60,1920,Outlet
P004,Kohl's,2015-02-10 00:00:00,West,Wyoming,Cheyenne,Men's Street Footwear,55,800,44000,In-store
V001,Foot Locker,2015-02-11 00:00:00,West,Idaho,Boise,Women's Street Footwear,47,223,10481,Outlet
R001,Foot Locker,2015-02-11 00:00:00,Southeast,South Carolina,Charleston,Men's Street Footwear,55,925,50875,Online
I001,Sports Direct,2015-02-11 00:00:00,South,Texas,Dallas,Women's Apparel,60,850,51000,Outlet
D002,Walmart,2015-02-12 00:00:00,Southeast,Florida,Orlando,Men's Athletic Footwear,95,750,71250,In-store
N010,Foot Locker,2015-02-12 00:00:00,West,Idaho,Boise,Men's Athletic Footwear,40,425,17000,Online
A003,Walmart,2015-02-13 00:00:00,South,Arkansas,Little Rock,Men's Apparel,55,375,20625,Online
N011,West Gear,2015-02-13 00:00:00,West,Colorado,Denver,Women's Athletic Footwear,65,400,26000,In-store
J001,West Gear,2015-02-13 00:00:00,South,Louisiana,New Orleans,Men's Apparel,47,152,7144,Outlet
N009,Foot Locker,2015-02-14 00:00:00,Southeast,Florida,Miami,Men's Apparel,50,195,9750,Online
N005,Foot Locker,2015-02-14 00:00:00,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,41,53,2173,Online
R009,West Gear,2015-02-16 00:00:00,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,44,117,5148,Online
D003,West Gear,2015-02-16 00:00:00,West,Washington,Seattle,Men's Athletic Footwear,60,188,11280,Online
N011,West Gear,2015-02-18 00:00:00,West,California,San Francisco,Women's Athletic Footwear,53,210,11130,Online
K004,West Gear,2015-02-18 00:00:00,Midwest,Missouri,St. Louis,Women's Apparel,25,475,11875,In-store
N011,Foot Locker,2015-02-18 00:00:00,Northeast,West Virginia,Charleston,Men's Street Footwear,45,450,20250,In-store
S007,Kohl's,2015-02-18 00:00:00,West,Wyoming,Cheyenne,Women's Street Footwear,30,550,16500,In-store
R009,Walmart,2015-02-19 00:00:00,Southeast,Florida,Orlando,Men's Street Footwear,60,575,34500,Outlet
T002,Foot Locker,2015-02-19 00:00:00,Midwest,Illinois,Chicago,Men's Street Footwear,60,500,30000,Outlet
A003,West Gear,2015-02-19 00:00:00,West,Nevada,Las Vegas,Women's Street Footwear,49,132,6468,Outlet
R006,West Gear,2015-02-19 00:00:00,West,Washington,Seattle,Women's Street Footwear,56,113,6328,Online
V002,West Gear,2015-02-20 00:00:00,West,California,San Francisco,Women's Street Footwear,40,247,9880,Outlet
D004,Sports Direct,2015-02-20 00:00:00,Midwest,Michigan,Detroit,Women's Apparel,55,525,28875,In-store
M002,Sports Direct,2015-02-20 00:00:00,South,Texas,Dallas,Men's Street Footwear,49,208,10192,Online
N005,West Gear,2015-02-21 00:00:00,South,Louisiana,New Orleans,Women's Apparel,59,167,9853,Online
M003,Foot Locker,2015-02-21 00:00:00,Northeast,Rhode Island,Providence,Women's Street Footwear,40,225,9000,In-store
N008,Foot Locker,2015-02-22 00:00:00,West,Arizona,Phoenix,Men's Athletic Footwear,33,175,5775,Outlet
N004,Sports Direct,2015-02-22 00:00:00,Southeast,Georgia,Atlanta,Men's Street Footwear,50,550,27500,Online
R011,Sports Direct,2015-02-22 00:00:00,South,Mississippi,Jackson,Men's Street Footwear,22,206,4532,Outlet
A013,West Gear,2015-02-22 00:00:00,West,Utah,Salt Lake City,Men's Athletic Footwear,22,128,2816,Outlet
G001,Sports Direct,2015-02-23 00:00:00,South,Alabama,Birmingham,Men's Street Footwear,38,206,7828,Outlet
A003,Foot Locker,2015-02-23 00:00:00,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40,175,7000,Outlet
A013,West Gear,2015-02-23 00:00:00,West,Oregon,Portland,Men's Athletic Footwear,55,525,28875,In-store
M006,Foot Locker,2015-02-24 00:00:00,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,62,88,5456,Online
S011,Kohl's,2015-02-24 00:00:00,Northeast,New Jersey,Newark,Men's Apparel,47,41,1927,Online
K007,Amazon,2015-02-24 00:00:00,Midwest,Ohio,Columbus,Men's Athletic Footwear,60,181,10860,Online
S001,Kohl's,2015-02-24 00:00:00,West,Wyoming,Cheyenne,Women's Street Footwear,40,525,21000,In-store
R010,Amazon,2015-02-25 00:00:00,Southeast,North Carolina,Charlotte,Men's Apparel,45,475,21375,Online
N004,Sports Direct,2015-02-25 00:00:00,Midwest,North Dakota,Fargo,Men's Apparel,36,36,1296,Online
S003,Foot Locker,2015-02-26 00:00:00,West,Arizona,Phoenix,Women's Athletic Footwear,47,68,3196,Online
K007,Foot Locker,2015-02-26 00:00:00,Midwest,Missouri,St. Louis,Women's Apparel,45,105,4725,Online
R001,Amazon,2015-02-26 00:00:00,Midwest,Ohio,Columbus,Men's Apparel,55,500,27500,Online
N005,Kohl's,2015-02-27 00:00:00,West,California,Los Angeles,Women's Apparel,62,176,10912,Online
R003,Sports Direct,2015-02-27 00:00:00,Northeast,Massachusetts,Boston,Men's Apparel,39,60,2340,Outlet
N004,Sports Direct,2015-02-27 00:00:00,South,Tennessee,Knoxville,Men's Athletic Footwear,25,178,4450,Outlet
A002,Kohl's,2015-02-28 00:00:00,Midwest,Montana,Billings,Men's Street Footwear,40,575,23000,Outlet
P009,Foot Locker,2015-03-01 00:00:00,Midwest,Nebraska,Omaha,Men's Street Footwear,36,94,3384,Online
S008,Sports Direct,2015-03-02 00:00:00,Northeast,Massachusetts,Boston,Women's Street Footwear,55,125,6875,In-store
A009,Sports Direct,2015-03-02 00:00:00,South,Mississippi,Jackson,Men's Athletic Footwear,17,112,1904,Outlet
A004,Kohl's,2015-03-03 00:00:00,West,California,Los Angeles,Men's Athletic Footwear,42,264,11088,Outlet
R003,Foot Locker,2015-03-03 00:00:00,Midwest,Iowa,Des Moines,Men's Apparel,45,150,6750,In-store
P007,West Gear,2015-03-04 00:00:00,West,Nevada,Las Vegas,Men's Apparel,48,107,5136,Outlet
A009,Kohl's,2015-03-05 00:00:00,West,California,Los Angeles,Women's Apparel,65,600,39000,Outlet
M009,Foot Locker,2015-03-05 00:00:00,Midwest,Iowa,Des Moines,Women's Athletic Footwear,40,175,7000,In-store
K006,Foot Locker,2015-03-05 00:00:00,Midwest,Missouri,St. Louis,Women's Street Footwear,32,120,3840,Online
K004,Kohl's,2015-03-06 00:00:00,West,California,Los Angeles,Men's Apparel,60,675,40500,Outlet
R007,West Gear,2015-03-06 00:00:00,West,California,San Francisco,Men's Street Footwear,41,338,13858,Outlet
P002,Foot Locker,2015-03-06 00:00:00,Northeast,New Hampshire,Manchester,Men's Apparel,60,54,3240,Online
G001,Sports Direct,2015-03-06 00:00:00,Southeast,North Carolina,Charlotte,Women's Street Footwear,38,167,6346,Online
V003,Foot Locker,2015-03-06 00:00:00,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,45,300,13500,Online
K007,West Gear,2015-03-07 00:00:00,West,California,San Francisco,Men's Athletic Footwear,62,203,12586,Online
M010,Kohl's,2015-03-07 00:00:00,Northeast,New Jersey,Newark,Women's Street Footwear,37,75,2775,Online
T001,Foot Locker,2015-03-08 00:00:00,West,Arizona,Phoenix,Women's Apparel,70,375,26250,Online
V001,Sports Direct,2015-03-08 00:00:00,Northeast,Connecticut,Hartford,Men's Apparel,55,200,11000,In-store
K006,Foot Locker,2015-03-08 00:00:00,Midwest,Kansas,Wichita,Women's Apparel,40,275,11000,Online
B001,Sports Direct,2015-03-09 00:00:00,West,New Mexico,Albuquerque,Women's Athletic Footwear,45,160,7200,Outlet
K004,Foot Locker,2015-03-09 00:00:00,Southeast,Virginia,Richmond,Women's Athletic Footwear,50,250,12500,In-store
S011,Walmart,2015-03-10 00:00:00,South,Arkansas,Little Rock,Men's Apparel,24,88,2112,Outlet
P011,Kohl's,2015-03-10 00:00:00,West,California,Los Angeles,Men's Athletic Footwear,50,247,12350,Online
R005,West Gear,2015-03-10 00:00:00,South,Oklahoma,Oklahoma City,Women's Apparel,42,98,4116,Online
D003,West Gear,2015-03-11 00:00:00,West,Nevada,Las Vegas,Men's Athletic Footwear,35,145,5075,Outlet
P003,West Gear,2015-03-11 00:00:00,West,Nevada,Las Vegas,Men's Athletic Footwear,65,600,39000,Outlet
M010,Foot Locker,2015-03-13 00:00:00,Midwest,Kansas,Wichita,Women's Apparel,73,88,6424,Online
C001,Sports Direct,2015-03-13 00:00:00,Midwest,North Dakota,Fargo,Men's Street Footwear,55,129,7095,Online
N011,West Gear,2015-03-13 00:00:00,West,Oregon,Portland,Women's Apparel,45,250,11250,In-store
K002,Sports Direct,2015-03-14 00:00:00,South,Alabama,Birmingham,Women's Street Footwear,15,475,7125,Outlet
V002,Kohl's,2015-03-15 00:00:00,South,Oklahoma,Oklahoma City,Women's Street Footwear,60,375,22500,Online
N012,Foot Locker,2015-03-15 00:00:00,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,29,58,1682,Outlet
M009,Foot Locker,2015-03-16 00:00:00,West,Arizona,Phoenix,Men's Street Footwear,36,170,6120,Outlet
I002,Foot Locker,2015-03-16 00:00:00,Midwest,Minnesota,Minneapolis,Women's Street Footwear,45,225,10125,Outlet
B001,Walmart,2015-03-17 00:00:00,South,Arkansas,Little Rock,Men's Athletic Footwear,14,132,1848,Outlet
K007,Sports Direct,2015-03-17 00:00:00,Southeast,Georgia,Atlanta,Women's Apparel,70,350,24500,Online
R007,Foot Locker,2015-03-17 00:00:00,Southeast,Virginia,Richmond,Men's Street Footwear,42,155,6510,Online
P009,West Gear,2015-03-18 00:00:00,West,California,San Francisco,Men's Street Footwear,36,289,10404,Outlet
S003,Kohl's,2015-03-18 00:00:00,Midwest,Kansas,Wichita,Men's Apparel,35,150,5250,Online
A006,Amazon,2015-03-18 00:00:00,Midwest,Ohio,Columbus,Women's Apparel,29,143,4147,Online
P008,Foot Locker,2015-03-18 00:00:00,Northeast,Rhode Island,Providence,Women's Apparel,38,96,3648,Outlet
V004,West Gear,2015-03-18 00:00:00,West,Utah,Salt Lake City,Men's Street Footwear,23,228,5244,Outlet
R010,Sports Direct,2015-03-19 00:00:00,South,Tennessee,Knoxville,Women's Athletic Footwear,35,375,13125,Outlet
S007,Sports Direct,2015-03-19 00:00:00,South,Tennessee,Knoxville,Men's Athletic Footwear,44,271,11924,Outlet
S008,West Gear,2015-03-20 00:00:00,Northeast,New York,Albany,Men's Athletic Footwear,60,700,42000,In-store
P001,Foot Locker,2015-03-21 00:00:00,Midwest,Missouri,St. Louis,Women's Apparel,28,105,2940,Online
M002,Foot Locker,2015-03-21 00:00:00,Southeast,South Carolina,Charleston,Women's Athletic Footwear,30,600,18000,Online
S009,West Gear,2015-03-21 00:00:00,West,Washington,Seattle,Women's Apparel,46,125,5750,Online
N001,Foot Locker,2015-03-23 00:00:00,Midwest,Missouri,St. Louis,Women's Apparel,34,102,3468,Online
K005,West Gear,2015-03-23 00:00:00,West,Oregon,Portland,Women's Apparel,59,84,4956,Online
T001,Foot Locker,2015-03-23 00:00:00,Northeast,Rhode Island,Providence,Men's Athletic Footwear,32,114,3648,Outlet
S003,Walmart,2015-03-24 00:00:00,South,Mississippi,Jackson,Women's Apparel,26,160,4160,Outlet
R008,West Gear,2015-03-24 00:00:00,Northeast,West Virginia,Charleston,Men's Athletic Footwear,50,116,5800,Online
M009,Foot Locker,2015-03-25 00:00:00,West,Idaho,Boise,Women's Street Footwear,37,106,3922,Online
R005,Foot Locker,2015-03-25 00:00:00,Southeast,Virginia,Richmond,Men's Street Footwear,49,248,12152,Outlet
S001,Sports Direct,2015-03-26 00:00:00,Southeast,Florida,Orlando,Women's Athletic Footwear,50,275,13750,Outlet
M007,Foot Locker,2015-03-26 00:00:00,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,42,77,3234,Online
N008,Foot Locker,2015-03-26 00:00:00,Midwest,Nebraska,Omaha,Men's Street Footwear,38,122,4636,Online
N001,Foot Locker,2015-03-26 00:00:00,Northeast,Pennsylvania,Philadelphia,Men's Apparel,65,150,9750,Outlet
M006,Sports Direct,2015-03-27 00:00:00,South,Alabama,Birmingham,Women's Athletic Footwear,41,180,7380,Online
P002,Kohl's,2015-03-27 00:00:00,West,California,Los Angeles,Women's Apparel,32,208,6656,Outlet
H001,Sports Direct,2015-03-27 00:00:00,Northeast,Connecticut,Hartford,Men's Apparel,50,150,7500,In-store
T002,Walmart,2015-03-27 00:00:00,Southeast,Florida,Orlando,Men's Athletic Footwear,45,150,6750,Outlet
N002,Foot Locker,2015-03-27 00:00:00,Midwest,Illinois,Chicago,Men's Apparel,50,175,8750,Outlet
P008,Sports Direct,2015-03-27 00:00:00,Southeast,North Carolina,Charlotte,Women's Street Footwear,54,210,11340,Online
T001,West Gear,2015-03-27 00:00:00,West,Utah,Salt Lake City,Men's Apparel,30,350,10500,In-store
A005,Amazon,2015-03-27 00:00:00,Northeast,Vermont,Burlington,Women's Athletic Footwear,38,102,3876,Outlet
N007,West Gear,2015-03-27 00:00:00,Midwest,Wisconsin,Milwaukee,Men's Apparel,33,33,1089,Online
Y002,West Gear,2015-03-29 00:00:00,West,Colorado,Denver,Men's Athletic Footwear,70,600,42000,In-store
R009,Sports Direct,2015-03-29 00:00:00,South,Texas,Dallas,Men's Apparel,50,575,28750,Outlet
A004,Kohl's,2015-03-30 00:00:00,West,California,Los Angeles,Men's Apparel,46,204,9384,Outlet
R008,Foot Locker,2015-03-30 00:00:00,South,Mississippi,Jackson,Men's Athletic Footwear,20,128,2560,Outlet
P004,Sports Direct,2015-03-30 00:00:00,Midwest,North Dakota,Fargo,Women's Apparel,45,225,10125,In-store
R010,West Gear,2015-04-01 00:00:00,Southeast,Florida,Miami,Men's Street Footwear,65,1150,74750,In-store
P013,Foot Locker,2015-04-01 00:00:00,Midwest,Illinois,Chicago,Men's Street Footwear,50,500,25000,Outlet
A009,Amazon,2015-04-02 00:00:00,West,Alaska,Anchorage,Men's Athletic Footwear,55,225,12375,Outlet
M005,Walmart,2015-04-03 00:00:00,South,Texas,Houston,Men's Apparel,33,217,7161,Outlet
I001,Kohl's,2015-04-04 00:00:00,West,California,Los Angeles,Women's Street Footwear,50,700,35000,Outlet
A013,West Gear,2015-04-04 00:00:00,West,Nevada,Las Vegas,Men's Street Footwear,56,189,10584,Online
M007,Walmart,2015-04-04 00:00:00,South,Texas,Houston,Women's Apparel,50,1000,50000,Outlet
V002,Foot Locker,2015-04-05 00:00:00,West,Arizona,Phoenix,Men's Athletic Footwear,50,575,28750,Online
M011,Sports Direct,2015-04-05 00:00:00,South,Mississippi,Jackson,Women's Street Footwear,14,120,1680,Online
